,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
5159,5159,5160,5691,Kankakee Iroquois Regional Planning Commission,KIRPC,"A government agency that operates a public preschool program combining education, nutrition, health, and social services for children from low-income families.","{""open"":{""Monday"":[[[8,0],[15,30]]],""Tuesday"":[[[8,0],[15,30]]],""Wednesday"":[[[8,0],[15,30]]],""Thursday"":[[[8,0],[15,30]]],""Friday"":[[[8,0],[15,30]]]},""closed"":[]}",Mon-Fri 8am-3:30pm,www.kirpc.net,,,219-253-6658,
5160,5160,5161,5692,Anchor Home Health Care,Anchor Home Healthcare,"Provides in-home medical and personal care for seniors, persons with disabilities, and persons recovering from an injury, illness, or surgery.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.anchorhealthsystems.com,,,219-531-9400,
5161,5161,5162,5693,Lake Area United Way,Lauw,"A nonprofit agency that partners with local human service organizations, businesses, and government agencies to support and strengthen the community.","{""open"":{""Friday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Monday"":[[[8,30],[17,0]]]},""closed"":[]}",Mon-Fri 8:30am-5pm,www.lauw.org,https://www.facebook.com/lakeareauw/,https://twitter.com/lauw_liveunited,219-923-2302,
5162,5162,5163,5694,Lake County Bar Association,,A nonprofit organization for legal professionals that provides referrals to private attorneys for persons in need.,"{""open"":{""Friday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Monday"":[[[8,30],[17,0]]]},""closed"":[]}",Mon-Fri 8:30am-5pm,www.lakecountybar.com,,,219-738-1905,
5163,5163,5164,5695,Lake County Nursing And Rehabilitation Center,,A health care organization providing nursing and rehabilitative facility for elderly and disabled individuals.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.lakecountynursingandrehab.com,,,219-397-0380,
5164,5164,5165,5696,Lake County Public Library,"Lake County Public Library, Lcpl",Provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.lcplin.org,,,219-769-3541,
5165,5165,5166,5697,Anrex Home Care,"Anrex Home Care Inc., Anrex Home Health","A commercial  business offering in-home skilled nursing care and personal care for seniors, persons with disabilities, and persons recovering from an injury, illness, or surgery.","{""open"":{""Friday"":[[[10,0],[15,0]]],""Thursday"":[[[10,0],[15,0]]],""Wednesday"":[[[10,0],[15,0]]],""Tuesday"":[[[10,0],[15,0]]],""Monday"":[[[10,0],[15,0]]]},""closed"":[]}",Mon-Fri 10am-3pm,www.anrexhealthcare.com,,,219-836-8080,
5166,5166,5167,5701,Lake Village Presbyterian Church,Lake Village Presbyterian,"A church offering worship services and charitable outreach programs, including a food pantry.","{""open"":{""Tuesday"":[[[9,0],[12,0]]],""Wednesday"":[[[9,0],[12,0]]],""Thursday"":[[[9,0],[12,0]]],""Friday"":[[[9,0],[12,0]]]},""closed"":[]}",Tues-Fri 9am-noon,www.lvpresbyterianchurch.com,,,219-992-3466,
5167,5167,5168,5702,Answer For Pregnancy Aid,The Answer,An organization that offers information and support services for family planning and crisis pregancy services.,"{""open"":{""Monday"":[[[9,30],[12,30]]],""Wednesday"":[[[9,30],[12,30]]],""Friday"":[[[12,30],[15,30]]]},""closed"":[]}",Mon and Wed 9:30am-12:30pm; Fri 12:30pm-3:30pm,www.answerforpregnancy.com,,,219-947-2272,
5168,5168,5169,5703,Life Care Center of The Willows,"Lcca, Life Care Centers Of America, The Willows",A 24-hour skilled nursing and rehabilitative facility offering short-term rehabilitation and long-term care for seniors and persons with a disability.,"{""open"":{""Friday"":[[[8,0],[17,30]]],""Monday"":[[[8,0],[17,30]]],""Tuesday"":[[[8,0],[17,30]]],""Wednesday"":[[[8,0],[17,30]]],""Thursday"":[[[8,0],[17,30]]]},""closed"":[]}",Mon-Fri 8am-5:30pm,www.lcca.com,,,219-464-4858,Front Desk
5169,5169,5170,5704,Lincolnshire Health Care Center,,A health care organization providing nursing and rehabilitative facility for elderly and disable individuals.,"{""open"":{""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.lincolnshirehrc.com,,,219-769-9009,
5170,5170,5171,5705,Valparaiso Low Vision Support Group,"Valparaiso Low Vision Support Group, Inc, Valparaiso Low Vision Support Group, Inc., Valparaiso Low-Vision Support Group",A nonprofit organization offering monthly support groups for persons affected by low vision or blindness.,,Vary,,,,219-464-1867,
5171,5171,5172,5706,Lowell Church of Christ,Lcoc,A faith-based organization offering a weekly food pantry.,"{""open"":{""Tuesday"":[[[8,0],[14,0]]],""Monday"":[[[8,0],[14,0]]],""Wednesday"":[[[8,0],[14,0]]],""Thursday"":[[[8,0],[14,0]]],""Friday"":[[[8,0],[14,0]]]},""closed"":[]}",Mon-Fri 8am-2pm,www.lcoc-online.org,,,219-696-7591,
5172,5172,5173,5709,Lowell Healthcare Center,American Senior Communities,"Provides a long-term or intermediate-stay housing option for seniors in need of 24-hour skilled nursing services, includng respite and hospice services.",,Daily 24 hours,www.ascseniorcare.com/lhc,,,219-696-7791,
5173,5173,5174,5711,M - Y Home Care,,A commercial agency that provides home health care to persons in need in Northwest Indiana.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,219-924-7480,Front Desk
5174,5174,5175,5713,Meals On Wheels of Northwest Indiana,,A nonprofit agency that provides home delivered meals to persons in need in Lake County.,"{""open"":{""Wednesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.mownwi.org,,,219-756-3663,
5175,5175,5176,5714,Mental Health America of Northwest Indiana,Mental Health America Of Lake County,"A nonprofit agency that provides personal and family support through education, referral, and advocacy.","{""open"":{""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]],""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.mhanwi.org/,,,219-937-7733,
5176,5176,5177,5715,Mental Health America of Porter County,"MHA Of Porter County, Porter County MHA","A nonprofit agency providing education, advocacy and service through programs designed to promote health; positively affect public attitudes and perceptions of mental illness through support and knowledge.","{""open"":{""Friday"":[[[9,0],[15,0]]],""Thursday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[15,0]]],""Tuesday"":[[[9,0],[15,0]]],""Monday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Fri 9am-3pm,www.mentalhealthpc.org,,,219-462-6267,
5177,5177,5178,5716,Methodist Hospitals,211,"Offers a full-service hospital providing a wide range of diagnostic, treatment, and health care programs, including 24-hour emergency care.",,Daily 24 hours,,,,219-886-4000,
5178,5178,5179,5717,Midwest Center For Youth And Families,,A nonprofit agency that provides a residential behavioral health treatment for youth in need.,"{""open"":{""Monday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,,,,219-766-2999,
5179,5179,5180,5719,Moore Home Health Care,MHHC,A commercial agency that provides home health care services to persons in need in Lake and Porter County.,"{""open"":{""Friday"":[[[9,0],[17,30]]],""Thursday"":[[[9,0],[17,30]]],""Wednesday"":[[[9,0],[17,30]]],""Tuesday"":[[[9,0],[17,30]]],""Monday"":[[[9,0],[17,30]]]},""closed"":[]}",Mon-Fri 9am-5:30pm,,,,219-923-2655,
5180,5180,5181,5720,Moraine House,,A nonprofit agency providing transitional housing to men in recovery from chemical dependency.,"{""open"":{""Sunday"":[[[7,0],[22,0]]],""Monday"":[[[7,0],[22,0]]],""Tuesday"":[[[7,0],[22,0]]],""Wednesday"":[[[7,0],[22,0]]],""Thursday"":[[[7,0],[22,0]]],""Friday"":[[[7,0],[22,0]]],""Saturday"":[[[7,0],[22,0]]]},""closed"":[]}",Daily 7am-10pm,www.morainehouse.org,,,219-464-9983,
5181,5181,5182,5722,Munster Med - Inn,Nucorp Health Associates,A health care organization providing nursing and rehabilitative facility for elderly and persons with a disability.,"{""open"":{""Wednesday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.munstermed-inn.com,,,219-836-8300,Front Desk
5182,5182,5183,5723,Need A Helping Hand,,A health care corporation providing home care services for seniors and disabled individuals in the comfort of their home.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.nhhnwi.com,,,219-864-1940,
5183,5183,5184,5724,Newton County Community Services,,A nonprofit organization offering community outreach and assistance programs to Newton County persons in need.,"{""open"":{""Friday"":[[[7,0],[16,0]]],""Thursday"":[[[7,0],[16,0]]],""Wednesday"":[[[7,0],[16,0]]],""Tuesday"":[[[7,0],[16,0]]],""Monday"":[[[7,0],[16,0]]]},""closed"":[]}",Mon-Fri 7am-4pm,,,,219-285-2247,
5184,5184,5185,5725,Grant Township Trustee - Newton County,Grant Township Trustee,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,219-297-3983,
5185,5185,5186,5726,Banta Center,"Banta Activity Center, Banta Senior Center, Elderstyle Initiative, Valparaiso Parks And Recreation, Valpo Parks, Village Park Enrichment Center",Nonprofit organization offering enrichment activities for area senior citizens.,"{""open"":{""Friday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]]},""closed"":[]}",Mon-Fri 9am-4pm,www.valpoparks.org,,,219-462-1301,
5186,5186,5187,5727,Beaver Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Thursday"":[[[9,0],[14,30]]],""Wednesday"":[[[4,0],[20,0]]],""Tuesday"":[[[9,0],[14,30]]],""Monday"":[[[9,0],[14,30]]]},""closed"":[]}","Mon, Tues, and Thurs 9am-2:30pm; Wed 4pm-8pm",,,,219-285-6913,
5187,5187,5188,5728,Iroquois Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,By appointment,,,,219-275-8841,
5188,5188,5189,5729,Jackson Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,,,,219-218-3558,
5189,5189,5190,5730,Jefferson Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,219-474-3330,
5190,5190,5191,5731,Lake Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Thursday"":[[[8,0],[14,0]]],""Wednesday"":[[[8,0],[14,0]]],""Tuesday"":[[[8,0],[14,0]]],""Monday"":[[[8,0],[14,0]]]},""closed"":[]}",Mon-Thurs 8am-2pm,,,,219-992-9116,
5191,5191,5192,5732,Lincoln Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,30],[13,0]]],""Thursday"":[[[8,30],[13,0]]],""Wednesday"":[[[8,30],[13,0]]],""Tuesday"":[[[8,30],[13,0]]],""Monday"":[[[8,30],[13,0]]]},""closed"":[]}",Mon-Fri 8:30am-1pm,,,,219-345-4071,
5192,5192,5193,5733,Mcclellan Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,219-285-2437,
5193,5193,5194,5734,Washington Township Trustee - Newton County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[17,0],[21,0]]],""Thursday"":[[[17,0],[21,0]]],""Wednesday"":[[[17,0],[21,0]]],""Tuesday"":[[[17,0],[21,0]]],""Monday"":[[[17,0],[21,0]]]},""closed"":[]}",Mon-Fri 5pm-9pm,,,,219-275-5111,
5194,5194,5195,5735,North Central Indiana Rural Crisis Center,NCI Rural Crisis Center,Nonprofit agency that provides services to those who have experienced domestic violence of sexual assault.,"{""open"":{""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,219-866-8281,
5195,5195,5196,5736,Baptist Children's Home,"Baptist Childrens Home And Family Ministries, BCH","A nonprofit, faith-based organization that provides adoption services, foster parent recruitment and residential group living for children.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.baptistchildrenshome.org,,,219-462-4111,
5196,5196,5197,5737,North Township Trustee - Lake County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.northtownshiptrustee.com,,,219-932-2530,
5197,5197,5198,5740,Oak Grove Christian Retirement Village,,A commercial health care agency that operates a nursing and rehabilitative facility for seniors and persons with disability.,"{""open"":{""Friday"":[[[8,30],[17,0]]],""Thursday"":[[[8,30],[17,0]]],""Wednesday"":[[[8,30],[17,0]]],""Tuesday"":[[[8,30],[17,0]]],""Monday"":[[[8,30],[17,0]]]},""closed"":[]}",Mon-Fri 8:30am-5pm,,,,219-987-7005,
5198,5198,5199,5741,Operation Care,"Family Christian Center, Fcc",A nonprofit agency offering a food and clothing pantry to persons in need.,"{""open"":{""Monday"":[[[9,0],[13,30]]],""Wednesday"":[[[9,0],[13,30]]],""Friday"":[[[9,0],[12,0]]]},""closed"":[]}",Mon and Wed 9am-1:30pm; Fri 9am-noon,,,,219-838-2295,
5199,5199,5200,5742,Opportunity Enterprises,,"A nonprofit agency that provides adult day programs, transportation, and vocational rehabilitation programs to persons in need in Northwest, IN.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.oppent.org,www.facebook.com/oppent,,219-464-9621,
5200,5200,5201,5743,Spring Mill Health Campus,"Outlook Manor At Merrillville, The Legacy Memory Care Neighborhood",A health care agency that provides nursing and rehabilitative facility for seniors and persons with a disability.,"{""open"":{""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.springmillhc.com,,,219-756-0744,
5201,5201,5202,5744,Pediatric Infant And Family Home Health Care,Pif,A home healthcare agency that provides in home nursing and rehabilitative services for seniors and persons with a disability.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,219-949-7696,
5202,5202,5203,5746,Pines Village Retirement Communities,Pines Village,A non profit organization providing an independent living retirement community with assisted services to persons in need in Northwest Indiana.,"{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.pinesvillage.org,,,219-465-1591,
5203,5203,5204,5749,Portage Township Food Pantry,Portage Township Emergency Food Pantry,"A nonprofit, community-based food pantry serving Portage Township of Porter County.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[12,0]]]},""closed"":[]}",Mon-Thurs 8am-4pm; Fri 8am-noon,www.portage-food-pantry.org,,,219-762-1623,Portage Township Trustee
5204,5204,5205,5750,Porter County Aging And Community Services,,"A nonprofit organization offering assistance to seniors, the disabled, and the low income in Porter County.","{""open"":{""Thursday"":[[[8,0],[12,0]],[[13,0],[16,30]]],""Wednesday"":[[[13,0],[16,30]],[[8,0],[12,0]]],""Tuesday"":[[[13,0],[16,30]],[[8,0],[12,0]]],""Monday"":[[[13,0],[16,30]],[[8,0],[12,0]]],""Friday"":[[[13,0],[16,30]],[[8,0],[12,0]]]},""closed"":[]}",Mon-Fri 8am-noon and 1pm-4:30pm,www.portercountyacs.org,www.facebook.com/PCACS/,www.twitter.com/PorterCACS,219-464-9736,
5205,5205,5206,5751,Professional Interpreters For The Deaf,Deaf Interpreters Service,A commercial agency that provides professional interpreting services for persons who are deaf and hard of hearing.,"{""open"":{""Monday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Friday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.professional-interpreters.com,,,219-736-7512,
5206,5206,5207,5752,Porter County Emergency Management,"Emergency Management Agency Of Porter County, Emergency Management Agency Porter County, Emergency Management Of Porter County, Emergency Management Porter County, Pcema, Porter County Ema",Coordinates emergency management programs and response measures in Porter County.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.porterco.org,,,219-462-8654,Office
5207,5207,5208,5753,Boone Township Trustee - Porter County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,,,,219-996-7121,
5208,5208,5209,5754,Jackson Township Trustee - Porter County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,219-926-8270,
5209,5209,5210,5755,Liberty Township Trustee - Porter County,Liberty Township Trustee,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,219-242-8347,
5210,5210,5211,5756,Morgan Township Trustee - Porter County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,219-733-2415,
5211,5211,5212,5757,Pine Township Trustee - Porter County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,219-874-6531,
5212,5212,5213,5758,Pleasant Township Trustee - Porter County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,219-766-3216,
5213,5213,5214,5759,Portage Township Trustee - Porter County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Friday"":[[[8,0],[12,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Thurs 8am-4pm; Fri 8am-noon,www.portagetrustee.org,,,219-762-1623,
5214,5214,5215,5760,Bmo Home Health Care,Bmo Home Healthcare,A health care agency that provides medical and personal care for patients in the comfort of their home.,"{""open"":{""Friday"":[[[9,0],[15,0]]],""Thursday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[15,0]]],""Tuesday"":[[[9,0],[15,0]]],""Monday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Fri 9am-3pm,,,,219-977-9099,
5215,5215,5216,5761,Porter Township Trustee - Porter County,Porter Township Trustee,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.","{""open"":{""Thursday"":[[[9,0],[14,0]]],""Wednesday"":[[[9,0],[14,0]]],""Tuesday"":[[[9,0],[14,0]]]},""closed"":[]}",Tues-Thurs 9am-2pm,,,,219-988-4444,
5216,5216,5217,5762,Porter - Starke Services,Porter Starke Services,A designated community mental health center for Porter and Starke County offering a range of mental health and addiction treatment services.,,Mon-Thurs 8am-8pm; Fri 8am-5pm,www.porterstarke.org,,,219-531-3500,
5217,5217,5218,5763,Cedar Lake United Methodist Church,"Cedar Lake Umc, Project Love Food Pantry","A church offering worship services and charitable outreach programs, including a food pantry.","{""open"":{""Monday"":[[[9,0],[12,0]],[[13,0],[15,0]]],""Tuesday"":[[[9,0],[12,0]],[[13,0],[15,0]]],""Wednesday"":[[[9,0],[12,0]],[[13,0],[15,0]]],""Thursday"":[[[9,0],[12,0]],[[13,0],[15,0]]]},""closed"":[]}",Mon-Thurs 9am-noon and 1pm-3pm,,,,219-374-7312,
5218,5218,5219,5765,Boys and Girls Clubs of Greater Northwest Indiana,,A nonprofit club for youth.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.bgcgreaternwi.org,,,219-764-2582,
5219,5219,5220,5766,Providence At Home,Rest Haven Christian Services,"A commercial agency that provides in-home medical and personal care to persons in need in Lake, La Porte, Jasper, Newton, Porter, and Starke Counties.","{""open"":{""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.providencelifeservices.com,,,219-365-4024,
5220,5220,5221,5768,Cass Township Trustee - Pulaski County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,219-843-5263,
5221,5221,5222,5769,Franklin Township Trustee - Pulaski County,,"An elected official responsible for administering the township, including such duties as providing township assistance, burial of the indigent, and maintaining the township budget.",,Vary,,,,574-946-6240,
5222,5222,5223,5770,Franciscan Health - Dyer,,"Affiliate of the Franciscan Alliance Health Network, offers a full-service hospital providing a wide range of medical services and emergency care.","{""open"":{""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.franciscanhealth.org/healthcare-facilities/franciscan-health-dyer-17,www.facebook.com/MyFranciscan,www.twitter.com/MyFranciscan,219-865-2141,
5223,5223,5224,5772,Franciscan Health - Munster,,"Affiliate of the Franciscan Alliance Health Network, offers a full-service hospital providing a wide range of medical services and emergency care.","{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.franciscanhealth.org/healthcare-facilities/franciscan-health-munster-57,www.facebook.com/MyFranciscan,www.twitter.com/MyFranciscan,219-922-4200,
5224,5224,5225,5773,Porter Regional Hospital,Porter Health Care System,"Offers a full-service hospital providing a wide range of diagnostic, treatment, and health care programs, including 24-hour emergency care.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.porterhealth.com,,,219-983-8300,
5225,5225,5226,5774,Critical Signal Technologies,Cst,A commerical organization that provides home and GPS tracking medical alert devices that monitor and dispatch first responders or call pre-arranged emergency contacts 24/7 based on the need.,"{""open"":{""Friday"":[[[8,30],[17,30]]],""Thursday"":[[[8,30],[17,30]]],""Wednesday"":[[[8,30],[17,30]]],""Tuesday"":[[[8,30],[17,30]]],""Monday"":[[[8,30],[17,30]]]},""closed"":[]}",Mon-Fri 8:30am-5:30pm,www.criticalsignaltechnologies.com,,,248-912-0740,Office
